,Event.Id,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Report.Status,Manufacturer,Year
4,20041105X01764,CHI79FA064,1979-08-02,"Canton, OH",United States,Fatal(1),Destroyed,Cessna,501,2.0,Turbo Fan,Personal,1.0,2.0,,0.0,VMC,Probable Cause,Cessna,1979
5,20170710X52551,NYC79AA106,1979-09-17,"BOSTON, MA",United States,Non-Fatal,Substantial,Mcdonnell Douglas,DC9,2.0,Turbo Fan,,,,1.0,44.0,VMC,Probable Cause,Mcdonnell Douglas,1979
8,20020909X01561,NYC82DA015,1982-01-01,"EAST HANOVER, NJ",United States,Non-Fatal,Substantial,Cessna,401B,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,IMC,Probable Cause,Cessna,1982
25,20020917X01905,DCA82AA008,1982-01-03,"ASHLAND, VA",United States,Fatal(8),Destroyed,Cessna,414A,2.0,Reciprocating,Business,8.0,0.0,0.0,0.0,IMC,Probable Cause,Cessna,1982
26,20020917X01720,ATL82FA033,1982-01-03,"PINEHURST, NC",United States,Fatal(1),Destroyed,Beechcraft,BE-58,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Probable Cause,Beech,1982
34,20020917X01880,CHI82FA019,1982-01-04,"FORT WAYNE, IN",United States,Fatal(2),Destroyed,Cessna,T337G,2.0,Reciprocating,Personal,2.0,2.0,0.0,0.0,IMC,Probable Cause,Cessna,1982
78,20020917X01715,ATL82DKJ09,1982-01-11,"AUBURN, AL",United States,Non-Fatal,Substantial,Cessna,310L,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,Cessna,1982
80,20020917X01765,ATL82IA034,1982-01-12,"CLARKSBURG, WV",United States,Incident,Minor,Embraer,EMB-110P1,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,2.0,VMC,Probable Cause,Embraer,1982
81,20020917X01750,ATL82FKQ09,1982-01-12,"ABERDEEN, MS",United States,Non-Fatal,Destroyed,Cessna,414,2.0,Reciprocating,Personal,0.0,0.0,3.0,0.0,UNK,Probable Cause,Cessna,1982
84,20020917X01907,DCA82AA011,1982-01-13,"WASHINGTON, DC",United States,Fatal(78),Destroyed,Boeing,737-222,2.0,Turbo Fan,Unknown,78.0,6.0,3.0,0.0,IMC,Probable Cause,Boeing,1982
