,Event.Id,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Report.Status,Year,Manufacturer,Total.Passengers,Percentage.Seriously.Injured.or.Killed,Percentage.Uninjured
5,20170710X52551,NYC79AA106,1979-09-17,"BOSTON, MA",United States,Non-Fatal,Substantial,Mcdonnell Douglas,DC9,2.0,Turbo Fan,,0.0,0.0,1.0,44.0,VMC,Probable Cause,1979,Mcdonnell Douglas,45.0,0.0,97.77777777777777
79,20020917X01897,CHI82IA026,1982-01-12,"CHICAGO, IL",United States,Incident,,Lockheed,L-1011,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,149.0,UNK,Probable Cause,1982,Lockheed,149.0,0.0,100.0
84,20020917X01907,DCA82AA011,1982-01-13,"WASHINGTON, DC",United States,Fatal(78),Destroyed,Boeing,737-222,2.0,Turbo Fan,Unknown,78.0,6.0,3.0,0.0,IMC,Probable Cause,1982,Boeing,87.0,96.55172413793103,0.0
93,20020917X02538,NYC82FA021,1982-01-15,"JAMAICA, NY",United States,Non-Fatal,Substantial,Swearingen,SA 226-TC,2.0,Turbo Prop,Unknown,0.0,1.0,2.0,12.0,VMC,Probable Cause,1982,,15.0,6.666666666666667,80.0
155,20020917X01909,DCA82AA013,1982-01-23,"BOSTON, MA",United States,Fatal(2),Destroyed,Mcdonnell Douglas,DC-10-30,3.0,Turbo Fan,Unknown,2.0,4.0,24.0,182.0,IMC,Probable Cause,1982,Mcdonnell Douglas,212.0,2.8301886792452833,85.84905660377359
230,20020917X01910,DCA82AA014,1982-02-03,"PHILADELPHIA, PA",United States,Non-Fatal,Minor,Mcdonnell-Douglas,DC-10-10,3.0,Turbo Fan,Unknown,0.0,1.0,0.0,154.0,IMC,Probable Cause,1982,Douglas,155.0,0.6451612903225806,99.35483870967742
279,20020917X01769,ATL82IA051,1982-02-09,"BIRMINGHAM, AL",United States,Incident,,Beech,200,2.0,Turbo Prop,Executive/corporate,0.0,0.0,0.0,10.0,IMC,Probable Cause,1982,Beech,10.0,0.0,100.0
320,20020917X02336,LAX82IA075,1982-02-15,"ONTARIO, CA",United States,Incident,Minor,Boeing,B737-2H4,2.0,Turbo Jet,Unknown,0.0,0.0,0.0,119.0,IMC,Probable Cause,1982,Boeing,119.0,0.0,100.0
336,20020917X01911,DCA82AA015,1982-02-16,"KING SALMON, AK",United States,Non-Fatal,Substantial,Nihon,YS-11A,2.0,Turbo Prop,Unknown,0.0,0.0,3.0,36.0,VMC,Probable Cause,1982,,39.0,0.0,92.3076923076923
344,20020917X02404,MIA82FA051,1982-02-17,"MIAMI, FL",United States,Non-Fatal,Substantial,Boeing,727-235,3.0,Turbo Fan,Unknown,0.0,1.0,1.0,51.0,VMC,Probable Cause,1982,Boeing,53.0,1.8867924528301887,96.22641509433963
346,20020917X02630,SEA82IA029,1982-02-18,"BOISE, ID",United States,Incident,Minor,Embraer,EMB-11OP1,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,16.0,VMC,Probable Cause,1982,Embraer,16.0,0.0,100.0
351,20020917X02151,FTW82IA062,1982-02-19,"HARLINGEN, TX",United States,Incident,,Boeing,B-727-200,3.0,Turbo Jet,,0.0,0.0,0.0,83.0,IMC,Probable Cause,1982,Boeing,83.0,0.0,100.0
377,20020917X01912,DCA82AA016,1982-02-21,"PROVIDENCE, RI",United States,Fatal(1),Destroyed,De Havilland,DHC-6,2.0,Turbo Prop,Unknown,1.0,10.0,1.0,0.0,VMC,Probable Cause,1982,,12.0,91.66666666666666,0.0
407,20020917X01898,CHI82IA072,1982-02-24,"CHICAGO, IL",United States,Incident,,Swearingen,SA-227,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,12.0,VMC,Probable Cause,1982,,12.0,0.0,100.0
522,20020917X02338,LAX82IA103,1982-03-10,"LONG BEACH, CA",United States,Incident,,Douglas,DC-9-82,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,68.0,VMC,Probable Cause,1982,Douglas,68.0,0.0,100.0
532,20020917X02572,NYC82IA051,1982-03-11,"FLUSHING, NY",United States,Incident,Minor,Nord Aviation,262A-12,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,30.0,IMC,Probable Cause,1982,,30.0,0.0,100.0
676,20020917X01989,DEN82IA049,1982-03-25,"DENVER, CO",United States,Incident,,Gulfstream,G159-C,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,20.0,VMC,Probable Cause,1982,Gulfstream,20.0,0.0,100.0
719,20020917X01901,CHI82IA108,1982-03-30,"CHICAGO, IL",United States,Incident,Minor,Swearingen,SA226TC,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,18.0,VMC,Probable Cause,1982,,18.0,0.0,100.0
796,20020917X01904,CHI82IA117,1982-04-09,"YOUNGSTOWN, OH",United States,Incident,Minor,Boeing,727-200,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,108.0,IMC,Probable Cause,1982,Boeing,108.0,0.0,100.0
890,20020917X01774,ATL82IA109,1982-04-18,"ASHEVILLE, NC",United States,Incident,Minor,Beech,BE-99,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,11.0,VMC,Probable Cause,1982,Beech,11.0,0.0,100.0
901,20020917X02079,FTW82DA139,1982-04-18,"AUSTIN, TX",United States,Non-Fatal,Substantial,Boeing,727-200,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,68.0,VMC,Probable Cause,1982,Boeing,68.0,0.0,100.0
